state,year,gini,bachelors_or_higher_percent,management_percent,income_median,income_mean,population,male_percent,age_median,white_percent,population_density,search_interest
New Mexico,2006,45.699998736381495,25.3,34.06335482470918,40629,5.4273,1954599,49.307658501820576,35.2,67.8278255539883,0.1611206669825765,58.4
New York,2006,49.5000004768372,31.2,36.7386304267846,51384,7.3384,19306183,48.42538268698686,37.4,66.38428735498881,4.096938608835713,59.4
North Carolina,2006,45.8000004291534,24.8,32.56280724468888,42625,5.7184,8856505,49.042799614520625,36.6,70.28351477247514,1.8214592643628302,48.6
North Dakota,2006,43.3999985456467,25.6,33.957792304707326,41919,5.3085,635867,49.891879905703554,37.1,91.04403908364485,0.09216230570744482,41.2
Ohio,2006,44.900000095367396,23,32.097574020886796,44532,5.8356,11478006,48.71568284595774,37.6,84.03762813854601,2.8091922850441104,48.6
Oklahoma,2006,46.000000834465,22.1,30.721949258093307,38770,5.2419,3579212,49.26154136720597,36.2,75.38061450397461,0.5217775397970078,36.5
Oregon,2006,44.400000572204604,27.5,32.968459987075505,46230,6.0331,3700758,49.54276934617178,37.6,86.09525399931582,0.38551181848750693,88.4
Pennsylvania,2006,45.5000013113022,25.4,34.049682755735944,46259,6.1319,12440621,48.57580662573034,39.6,83.83610432308805,2.7805112350017054,50.5
Rhode Island,2006,44.200000166893,29.6,34.51890705783335,51814,6.6196,1067610,48.2058991579322,38.4,82.64909470686861,10.326144755033289,60.6
South Carolina,2006,46.2000012397766,22.7,30.3517567478152,41100,5.5128,4321249,48.65577058854974,37.1,67.30285618810673,1.4373352520431348,35
South Dakota,2006,43.9000010490417,24.8,34.94951438112573,42791,5.446,781919,50.18345890047434,37.3,87.19381419303022,0.10314407694603375,31.7
Tennessee,2006,46.7999994754791,21.7,30.613810787904853,40315,5.4669,6038803,48.85252921812485,37.2,79.18089065001789,1.4645698308280675,42.7
Texas,2006,47.4000006914139,24.7,32.34106248360214,44922,6.2421,23507783,49.79488282667915,33.1,69.78938422223823,0.8997567382657382,35
Utah,2006,40.999999642372096,28.6,32.421120994393384,51309,6.3807,2550063,50.28714976845669,28.4,89.08030899628754,0.30956061948571145,47.6
Vermont,2006,41.9999986886978,32.4,37.36050606612846,47665,6.006,623908,49.14121953877815,40.6,96.2528129147246,0.6768916393921236,100
Virginia,2006,45.6000000238419,32.7,39.813237993927544,56277,7.5764,7642884,49.16367957435963,36.9,70.82790998790509,1.9357838028024363,53.6
Washington,2006,44.2999988794327,30.5,36.74031949146938,52583,6.8557,6395798,49.788517398454424,36.7,80.4923795279338,0.9624181109877322,68.4
West Virginia,2006,44.699999690055805,16.5,28.25595942253536,35059,4.6402,1818470,48.99668402558194,40.7,94.64538870589013,0.7563988517587826,37.2
