Category: All categories

Region,"""animal testing"" + ""cruelty free"": (2021)"
New York,100
New Hampshire,83
California,80
Connecticut,72
New Mexico,72
Oregon,72
Nevada,71
Rhode Island,70
Washington,67
Arizona,65
District of Columbia,64
Colorado,64
West Virginia,63
Hawaii,63
New Jersey,63
Maine,61
Florida,61
Massachusetts,59
Utah,58
Texas,57
Virginia,56
Kansas,56
Vermont,56
North Dakota,56
Maryland,55
Idaho,55
Wisconsin,55
Kentucky,55
Illinois,55
Pennsylvania,54
Oklahoma,54
Montana,53
Alaska,52
Wyoming,52
Michigan,52
Minnesota,52
Iowa,52
Nebraska,50
North Carolina,50
Indiana,50
Ohio,50
Delaware,50
Missouri,47
South Carolina,45
Georgia,44
Tennessee,44
South Dakota,43
Arkansas,41
Alabama,37
Louisiana,35
Mississippi,32
