Category: All categories

Region,"""grass fed"" + ""free range"" + ""cage free"": (2022)"
Maine,100
Colorado,87
Vermont,86
Idaho,78
Hawaii,73
Arizona,68
Montana,68
California,67
New Hampshire,66
Oregon,66
Connecticut,64
Wyoming,64
Washington,64
Utah,63
Maryland,62
Florida,61
Rhode Island,61
Wisconsin,60
Nevada,60
Minnesota,59
Alaska,59
Tennessee,58
Kansas,57
New York,57
Texas,57
Massachusetts,56
Michigan,56
New Mexico,55
Missouri,55
Delaware,55
Oklahoma,55
New Jersey,54
North Carolina,53
Nebraska,53
Arkansas,53
Iowa,52
South Carolina,50
Illinois,50
South Dakota,49
West Virginia,49
Indiana,49
Virginia,48
Pennsylvania,48
Alabama,48
Kentucky,48
Ohio,46
Georgia,46
District of Columbia,45
Louisiana,44
Mississippi,40
North Dakota,37
