Category: All categories

Region,"vegan + vegetarian + ""dairy free"" + ""animal testing"" + ""cruelty free"" + ""grass fed"" + ""free range"" + ""cage free"": (2022)"
Oregon,100
District of Columbia,90
Vermont,77
Washington,73
Colorado,73
Hawaii,71
California,68
Massachusetts,66
Maine,64
Nevada,63
Georgia,61
New York,61
New Hampshire,60
Arizona,59
New Jersey,59
Maryland,58
Rhode Island,58
Utah,56
Connecticut,56
Michigan,54
Pennsylvania,53
Virginia,53
Illinois,53
North Carolina,52
Florida,51
Delaware,49
Minnesota,48
New Mexico,47
Ohio,47
Texas,47
Alaska,47
Missouri,46
Wisconsin,45
Montana,45
Tennessee,45
Kansas,44
Idaho,43
South Carolina,43
Indiana,41
Nebraska,40
Oklahoma,35
Kentucky,35
Iowa,35
Arkansas,33
Alabama,33
Wyoming,33
Louisiana,32
West Virginia,30
South Dakota,28
Mississippi,27
North Dakota,25
