Category: All categories

Region,"vegan + vegetarian + ""dairy free"": (2022)"
District of Columbia,100
Oregon,95
Vermont,78
Colorado,74
Washington,73
Massachusetts,68
California,68
Hawaii,68
Maine,67
Nevada,66
New Hampshire,64
Georgia,62
New Jersey,62
New York,61
Maryland,60
Arizona,59
Virginia,59
Rhode Island,58
Connecticut,56
Michigan,55
Illinois,55
Pennsylvania,54
North Carolina,54
Utah,54
Minnesota,54
Florida,53
Delaware,52
New Mexico,49
Ohio,48
Montana,48
Texas,47
Missouri,47
Idaho,46
Tennessee,45
Alaska,45
Wisconsin,45
South Carolina,45
Kansas,44
Indiana,42
Nebraska,41
Oklahoma,38
Louisiana,36
Kentucky,36
Iowa,35
Alabama,34
Wyoming,34
Arkansas,33
West Virginia,30
Mississippi,28
South Dakota,27
North Dakota,25
