Category: All categories

Region,"""grass fed"" + ""free range"" + ""cage free"": (2021)"
Maine,100
Idaho,67
Vermont,64
Colorado,63
Wyoming,63
Oregon,61
Washington,60
Maryland,59
Hawaii,59
New Hampshire,58
Kansas,57
Arizona,56
Connecticut,56
New York,54
Nevada,53
Iowa,53
California,53
Wisconsin,53
Tennessee,52
Minnesota,52
Massachusetts,51
Utah,49
South Dakota,48
North Carolina,48
Rhode Island,48
Nebraska,48
Michigan,47
New Jersey,47
New Mexico,47
Missouri,47
Montana,47
Texas,47
North Dakota,46
Oklahoma,46
Virginia,45
District of Columbia,44
Alaska,43
Ohio,43
Illinois,42
Georgia,42
Pennsylvania,42
Arkansas,42
Florida,42
Indiana,41
South Carolina,41
Kentucky,40
Mississippi,39
Louisiana,38
Alabama,38
Delaware,36
West Virginia,34
