Category: All categories

Region,"""animal testing"" + ""cruelty free"": (2021)"
New York,100
California,76
New Hampshire,76
Rhode Island,74
Oregon,71
New Mexico,69
Connecticut,68
Nevada,68
Washington,64
Hawaii,62
Arizona,62
District of Columbia,61
Colorado,60
New Jersey,58
Maine,58
West Virginia,58
Florida,57
Massachusetts,56
Utah,55
Montana,54
Virginia,54
North Dakota,53
Maryland,53
Idaho,53
Kentucky,52
Wyoming,52
Alaska,52
Illinois,52
Wisconsin,52
Iowa,51
Pennsylvania,50
Oklahoma,50
Texas,50
Kansas,50
Vermont,50
Michigan,50
Minnesota,49
Delaware,49
Nebraska,48
Ohio,47
North Carolina,47
Indiana,46
Missouri,44
South Carolina,43
Tennessee,42
Georgia,41
Arkansas,40
South Dakota,37
Alabama,36
Louisiana,33
Mississippi,32
