Category: All categories

Region,"vegan + vegetarian + ""dairy free"" + ""animal testing"" + ""cruelty free"" + ""grass fed"" + ""free range"" + ""cage free"": (2021)"
Oregon,100
Vermont,93
Hawaii,91
District of Columbia,88
California,86
Washington,85
Colorado,78
Nevada,77
Maine,75
New York,75
Connecticut,71
Massachusetts,71
Arizona,71
Rhode Island,70
New Hampshire,70
Utah,69
New Jersey,67
Maryland,66
Georgia,66
Virginia,66
Illinois,64
North Carolina,63
Michigan,61
Delaware,60
Minnesota,60
Florida,59
Ohio,59
Pennsylvania,59
Idaho,58
New Mexico,58
South Carolina,54
Tennessee,53
Missouri,52
Wisconsin,52
Montana,50
Texas,50
Alaska,49
Kansas,49
Indiana,48
Louisiana,44
Oklahoma,44
Kentucky,43
Nebraska,43
Iowa,42
Wyoming,42
Arkansas,41
Alabama,41
West Virginia,36
Mississippi,32
North Dakota,31
South Dakota,30
