Category: All categories

Region,"""animal testing"" + ""cruelty free"": (2022)"
New York,100
Oregon,93
California,91
New Hampshire,87
Colorado,84
Washington,82
Nevada,81
Rhode Island,79
Hawaii,79
Maine,77
Delaware,76
Arizona,76
Wisconsin,76
Vermont,75
Connecticut,75
Virginia,71
Alaska,71
Florida,70
Idaho,70
Iowa,69
Kansas,69
New Mexico,69
Minnesota,69
Kentucky,68
New Jersey,68
Illinois,68
Massachusetts,68
West Virginia,67
District of Columbia,67
Utah,66
Michigan,65
Pennsylvania,65
Indiana,65
Nebraska,64
Maryland,63
Ohio,62
North Carolina,61
Texas,61
South Dakota,59
Montana,58
Tennessee,58
South Carolina,58
North Dakota,57
Oklahoma,56
Missouri,55
Arkansas,54
Georgia,51
Louisiana,44
Alabama,38
Mississippi,38
Wyoming,38
