Category: All categories

Region,"vegan + vegetarian + ""dairy free"": (2021)"
District of Columbia,100
Oregon,99
California,88
Vermont,88
Hawaii,82
Colorado,81
Washington,80
Nevada,75
Massachusetts,70
Connecticut,70
Arizona,69
New Jersey,69
New Hampshire,68
Utah,67
Rhode Island,67
Maine,67
Georgia,67
Maryland,66
New York,65
Illinois,64
Virginia,63
North Carolina,62
Florida,61
Michigan,60
Delaware,59
Minnesota,58
Ohio,58
Missouri,57
Pennsylvania,56
New Mexico,55
Idaho,55
Wisconsin,54
Texas,54
South Carolina,52
Montana,50
Tennessee,48
Alaska,47
Indiana,47
Kansas,45
Louisiana,44
Oklahoma,42
Kentucky,42
Nebraska,41
Iowa,41
Wyoming,40
Arkansas,38
Alabama,37
Mississippi,33
West Virginia,32
North Dakota,30
South Dakota,29
