Category: All categories

Region,"vegan + vegetarian + ""dairy free"": (2021)"
Oregon,100
District of Columbia,99
Hawaii,89
California,89
Vermont,87
Washington,86
Colorado,78
Nevada,76
Massachusetts,74
Connecticut,72
Maryland,70
Maine,70
New Jersey,68
Georgia,68
Rhode Island,66
New York,66
New Hampshire,65
Utah,65
Illinois,64
Arizona,64
Virginia,64
Pennsylvania,62
North Carolina,62
Florida,61
Michigan,60
Ohio,57
Minnesota,57
Delaware,56
New Mexico,54
South Carolina,53
Idaho,52
Texas,52
Wisconsin,52
Tennessee,51
Missouri,50
Indiana,50
Alaska,47
Montana,46
Kansas,46
Louisiana,46
Oklahoma,43
Kentucky,42
Nebraska,41
Alabama,40
Iowa,40
Wyoming,40
Arkansas,39
Mississippi,34
West Virginia,33
North Dakota,30
South Dakota,29
