Variable Names,Estimates
(Intercept),57.2 (2.17)***
gini_cwc,-1.43 (0.37)***
age_median_cwc,0.94 (0.51) 
bachelors_or_higher_percent_cwc,0.18 (0.36) 
male_percent_cwc,-8.27 (1.31)***
white_percent_cwc,-0.08 (0.09) 
income_mean_cwc,6.01 (0.86)***
population_density_cwc,0.49 (0.25) 
