Variable Names,Estimates
(Intercept),57.17 (2.2)***
age_median_cwc,1.39 (0.57)*
bachelors_or_higher_percent_cwc,0.07 (0.46) 
male_percent_cwc,-5.92 (1.41)***
white_percent_cwc,-0.7 (0.2)***
income_mean_cwc,0 (0)***
population_density_cwc,0.01 (0)**
