Variable Names,Estimates
(Intercept),49.66 (2.28)***
gini_cwc,-0.84 (0.53) 
age_median_cwc,1.83 (0.73)*
bachelors_or_higher_percent_cwc,-0.19 (0.53) 
male_percent_cwc,0.3 (1.88) 
white_percent_cwc,-0.28 (0.13)*
income_mean_cwc,2.85 (1.25)*
population_density_cwc,-0.65 (0.36) 
