Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS16_B19083001,ACS16_B19083001s
"01","04000US01","Alabama","Alabama","al","040","00 ","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4847,0.00321212121212
"02","04000US02","Alaska","Alaska","ak","040","00 ","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4081,0.00642424242424
"04","04000US04","Arizona","Arizona","az","040","00 ","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4713,0.0030303030303
"05","04000US05","Arkansas","Arkansas","ar","040","00 ","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4719,0.00357575757575
"06","04000US06","California","California","ca","040","00 ","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4899,0.0010303030303
"08","04000US08","Colorado","Colorado","co","040","00 ","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4586,0.00254545454545
"09","04000US09","Connecticut","Connecticut","ct","040","00 ","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4945,0.00315151515151
"10","04000US10","Delaware","Delaware","de","040","00 ","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4522,0.00660606060606
"11","04000US11","District of Columbia","District of Columbia","dc","040","00 ","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542,0.00733333333333
"12","04000US12","Florida","Florida","fl","040","00 ","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4852,0.00163636363636
"13","04000US13","Georgia","Georgia","ga","040","00 ","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4813,0.00236363636363
"15","04000US15","Hawaii","Hawaii","hi","040","00 ","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,0.00436363636363
"16","04000US16","Idaho","Idaho","id","040","00 ","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4503,0.00587878787878
"17","04000US17","Illinois","Illinois","il","040","00 ","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,0.00169696969696
"18","04000US18","Indiana","Indiana","in","040","00 ","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4527,0.00260606060606
"19","04000US19","Iowa","Iowa","ia","040","00 ","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4451,0.00321212121212
"20","04000US20","Kansas","Kansas","ks","040","00 ","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455,0.0030909090909
"21","04000US21","Kentucky","Kentucky","ky","040","00 ","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4813,0.00363636363636
"22","04000US22","Louisiana","Louisiana","la","040","00 ","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499,0.00333333333333
"23","04000US23","Maine","Maine","me","040","00 ","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4519,0.00460606060606
"24","04000US24","Maryland","Maryland","md","040","00 ","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4499,0.00175757575757
"25","04000US25","Massachusetts","Massachusetts","ma","040","00 ","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4786,0.0020606060606
"26","04000US26","Michigan","Michigan","mi","040","00 ","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4695,0.00175757575757
"27","04000US27","Minnesota","Minnesota","mn","040","00 ","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4496,0.00236363636363
"28","04000US28","Mississippi","Mississippi","ms","040","00 ","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4828,0.004
"29","04000US29","Missouri","Missouri","mo","040","00 ","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4646,0.00284848484848
"30","04000US30","Montana","Montana","mt","040","00 ","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4667,0.00672727272727
"31","04000US31","Nebraska","Nebraska","ne","040","00 ","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4477,0.00424242424242
"32","04000US32","Nevada","Nevada","nv","040","00 ","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4577,0.00418181818181
"33","04000US33","New Hampshire","New Hampshire","nh","040","00 ","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4304,0.00521212121212
"34","04000US34","New Jersey","New Jersey","nj","040","00 ","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4813,0.00163636363636
"35","04000US35","New Mexico","New Mexico","nm","040","00 ","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4769,0.00418181818181
"36","04000US36","New York","New York","ny","040","00 ","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5129,0.00139393939393
"37","04000US37","North Carolina","North Carolina","nc","040","00 ","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,0.00248484848484
"38","04000US38","North Dakota","North Dakota","nd","040","00 ","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4533,0.00739393939393
