Geo_FILEID,Geo_STUSAB,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_FIPS,Geo_QName,ACS19_B19083001,ACS19_B19083001s
"ACSSF","nv","00","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32","Nevada",,,"32","Nevada",0.471,0.004484849
"ACSSF","nh","00","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33","New Hampshire",,,"33","New Hampshire",0.4406,0.00539394
"ACSSF","nj","00","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34","New Jersey",,,"34","New Jersey",0.4782,0.002181818
"ACSSF","nm","00","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35","New Mexico",,,"35","New Mexico",0.4768,0.004242424
"ACSSF","ny","00","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36","New York",,,"36","New York",0.5149,0.001575758
"ACSSF","nc","00","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37","North Carolina",,,"37","North Carolina",0.4743,0.002060606
"ACSSF","nd","00","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38","North Dakota",,,"38","North Dakota",0.4558,0.006303031
"ACSSF","oh","00","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39","Ohio",,,"39","Ohio",0.4651,0.002
"ACSSF","ok","00","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40","Oklahoma",,,"40","Oklahoma",0.4739,0.002424242
"ACSSF","or","00","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US41","Oregon",,,"41","Oregon",0.45,0.003151515
"ACSSF","pa","00","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US42","Pennsylvania",,,"42","Pennsylvania",0.4745,0.001878788
"ACSSF","ri","00","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US44","Rhode Island",,,"44","Rhode Island",0.4628,0.005818182
"ACSSF","sc","00","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US45","South Carolina",,,"45","South Carolina",0.4747,0.003393939
"ACSSF","sd","00","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US46","South Dakota",,,"46","South Dakota",0.436,0.005636364
"ACSSF","tn","00","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US47","Tennessee",,,"47","Tennessee",0.4749,0.002727273
"ACSSF","tx","00","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US48","Texas",,,"48","Texas",0.4753,0.001151515
"ACSSF","ut","00","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US49","Utah",,,"49","Utah",0.4268,0.004181818
"ACSSF","vt","00","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US50","Vermont",,,"50","Vermont",0.4471,0.006909091
"ACSSF","va","00","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US51","Virginia",,,"51","Virginia",0.469,0.002121212
"ACSSF","wa","00","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US53","Washington",,,"53","Washington",0.4577,0.002242424
"ACSSF","wv","00","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US54","West Virginia",,,"54","West Virginia",0.4644,0.004121212
"ACSSF","wi","00","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US55","Wisconsin",,,"55","Wisconsin",0.4391,0.00230303
"ACSSF","wy","00","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US56","Wyoming",,,"56","Wyoming",0.4345,0.008787879
"ACSSF","pr","00","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US72","Puerto Rico",,,"72","Puerto Rico",0.5509,0.004181818
