Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS21_B19083001,ACS21_B19083001s
"32","Nevada","ACSSF","nv","040","00","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32","Nevada",,,,0.4726,0.004060606
"33","New Hampshire","ACSSF","nh","040","00","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33","New Hampshire",,,,0.4348,0.005333333
"34","New Jersey","ACSSF","nj","040","00","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34","New Jersey",,,,0.4853,0.002424242
"35","New Mexico","ACSSF","nm","040","00","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35","New Mexico",,,,0.4861,0.00569697
"36","New York","ACSSF","ny","040","00","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36","New York",,,,0.514,0.001636364
"37","North Carolina","ACSSF","nc","040","00","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37","North Carolina",,,,0.4801,0.002363636
"38","North Dakota","ACSSF","nd","040","00","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38","North Dakota",,,,0.4531,0.007090909
"39","Ohio","ACSSF","oh","040","00","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39","Ohio",,,,0.4687,0.002060606
"40","Oklahoma","ACSSF","ok","040","00","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40","Oklahoma",,,,0.4618,0.002606061
"41","Oregon","ACSSF","or","040","00","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US41","Oregon",,,,0.4611,0.002909091
"42","Pennsylvania","ACSSF","pa","040","00","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US42","Pennsylvania",,,,0.472,0.001333333
"44","Rhode Island","ACSSF","ri","040","00","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US44","Rhode Island",,,,0.468,0.006848485
"45","South Carolina","ACSSF","sc","040","00","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US45","South Carolina",,,,0.476,0.003515152
"46","South Dakota","ACSSF","sd","040","00","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US46","South Dakota",,,,0.4522,0.008727273
"47","Tennessee","ACSSF","tn","040","00","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US47","Tennessee",,,,0.4821,0.003272727
"48","Texas","ACSSF","tx","040","00","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US48","Texas",,,,0.4784,0.001515151
"49","Utah","ACSSF","ut","040","00","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US49","Utah",,,,0.4449,0.004787879
"50","Vermont","ACSSF","vt","040","00","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US50","Vermont",,,,0.4527,0.006242424
"51","Virginia","ACSSF","va","040","00","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US51","Virginia",,,,0.4724,0.001818182
"53","Washington","ACSSF","wa","040","00","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US53","Washington",,,,0.4704,0.002606061
"54","West Virginia","ACSSF","wv","040","00","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US54","West Virginia",,,,0.4858,0.005030303
"55","Wisconsin","ACSSF","wi","040","00","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US55","Wisconsin",,,,0.4464,0.002545455
"56","Wyoming","ACSSF","wy","040","00","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US56","Wyoming",,,,0.4638,0.01236364
"72","Puerto Rico","ACSSF","pr","040","00","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US72","Puerto Rico",,,,0.5423,0.004484849
